Likes,Comments,PostType,Time_Posted,engagement
1968,3,image,2021-01-10 15:32:29,1971
11544,75,image,2021-01-10 15:31:55,11619
13499,71,image,2021-01-10 15:21:20,13570
1785,2,multiple,2021-01-10 14:29:23,1787
105769,462,video,2021-01-10 14:28:05,106231
129213,540,multiple,2021-01-10 14:17:52,129753
1005,6,video,2021-01-10 13:43:32,1011
3119,24,video,2021-01-10 12:51:54,3143
12375,25,image,2021-01-10 12:51:27,12400
66274,188,image,2021-01-10 11:15:51,66462
11962,34,image,2021-01-10 10:59:40,11996
109484,378,multiple,2021-01-10 10:50:06,109862
